date,desc,language,new_stars,times_listed,total_start,trending_type,gh_archived,gh_created_at,gh_data_collected_at,gh_default_branch,gh_description,gh_fork,gh_forks_count,gh_full_name,gh_language,gh_name,gh_network_count,gh_open_issues_count,gh_owner_login,gh_owner_type,gh_size,gh_stargazers_count,gh_subscribers_count,gh_url,gh_watchers,gh_watchers_count
2018-06-03,Character Animation in Unity3D using Deep Learning and Biologically-Inspired Artificial Intelligence,C#,204,2,721,repeat_repo,False,1501107635,1550936890,master,Character Animation in Unity 3D using Deep Learning and Artificial Intelligence,False,192,sebastianstarke/AI4Animation,C++,AI4Animation,192.0,3,sebastianstarke,User,2156905,1377,162.0,https://api.github.com/repos/sebastianstarke/AI4Animation,1377,1377
2018-06-04,I wish that too!,JavaScript,10,0,10,new_repo,False,1526158826,1550936915,master,I wish that too!,False,0,singhpratyush/wishqus,JavaScript,wishqus,0.0,1,singhpratyush,User,223,15,1.0,https://api.github.com/repos/singhpratyush/wishqus,15,15
2018-06-07,Permit to scroll a ReactNative View into the visible screen. Simple port of DOMElement.scrollIntoView() function,JavaScript,9,0,10,new_repo,False,1528381354,1550936968,master,Permit to scroll a ReactNative View into the visible screen. Simple port of DOMElement.scrollIntoView() function,False,1,slorber/react-native-scroll-into-view,TypeScript,react-native-scroll-into-view,1.0,2,slorber,User,394,84,4.0,https://api.github.com/repos/slorber/react-native-scroll-into-view,84,84
2018-06-05,Zip Slip Vulnerability (Arbitrary file write through archive extraction),,42,0,55,new_repo,False,1524044865,1550936928,master,Zip Slip Vulnerability (Arbitrary file write through archive extraction),False,48,snyk/zip-slip-vulnerability,,zip-slip-vulnerability,48.0,6,snyk,Organization,82,302,44.0,https://api.github.com/repos/snyk/zip-slip-vulnerability,302,302
2018-06-03,"Convert a pull-stream into an AsyncIterable, and use for-await-of",JavaScript,9,0,9,new_repo,False,1528028421,1550936905,master,"Convert a pull-stream into an AsyncIterable, and use for-await-of",False,0,staltz/pull-awaitable,JavaScript,pull-awaitable,0.0,1,staltz,User,2,19,2.0,https://api.github.com/repos/staltz/pull-awaitable,19,19
2018-06-05,Free football data from StatsBomb,,15,0,16,new_repo,False,1528201690,1550936933,master,Free football data from StatsBomb,False,78,statsbomb/open-data,,open-data,78.0,3,statsbomb,Organization,173404,205,57.0,https://api.github.com/repos/statsbomb/open-data,205,205
2018-06-04,🖼️ An Almost Ideal React Image Component,JavaScript,334,3,1428,repeat_repo,False,1526845131,1550936886,master,🖼️ An Almost Ideal React Image Component,False,72,stereobooster/react-ideal-image,JavaScript,react-ideal-image,72.0,31,stereobooster,User,39294,2915,32.0,https://api.github.com/repos/stereobooster/react-ideal-image,2915,2915
2018-06-10,A simple HTTP(S) and DNS Canary Slackbot,Go,16,0,21,new_repo,False,1528600709,1550936998,master,A simple HTTP(S) and DNS Canary Slackbot,False,5,sudosammy/knary,Go,knary,5.0,0,sudosammy,User,199,67,5.0,https://api.github.com/repos/sudosammy/knary,67,67
2018-06-03,a cheatsheet for react users using typescript with react for the first (or nth!) time,,244,0,357,first_time,False,1527912496,1550936899,master,a cheatsheet for react users using typescript with react for the first (or nth!) time ,False,176,sw-yx/react-typescript-cheatsheet,,react-typescript-cheatsheet,176.0,21,sw-yx,User,371,3887,79.0,https://api.github.com/repos/sw-yx/react-typescript-cheatsheet,3887,3887
2018-06-04,a simplified machine learning container platform that helps teams get started with an automated workflow,Go,21,0,30,new_repo,False,1527296523,1550936909,master,a simplified machine learning container platform that helps teams get started with an automated workflow,False,1,taskfitio/dama,Go,dama,1.0,0,taskfitio,Organization,4164,69,3.0,https://api.github.com/repos/taskfitio/dama,69,69
2018-06-05,TernausNetV2: Fully Convolutional Network for Instance Segmentation,Jupyter Notebook,20,0,30,new_repo,False,1527967443,1550936931,master,TernausNetV2: Fully Convolutional Network for Instance Segmentation,False,77,ternaus/TernausNetV2,Jupyter Notebook,TernausNetV2,77.0,13,ternaus,User,6359,391,20.0,https://api.github.com/repos/ternaus/TernausNetV2,391,391
2018-06-11,Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,376,21,21883,repeat_repo,False,1521877624,1550936875,master,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,False,6132,trekhleb/javascript-algorithms,JavaScript,javascript-algorithms,6132.0,85,trekhleb,User,2391,45160,1910.0,https://api.github.com/repos/trekhleb/javascript-algorithms,45160,45160
2018-06-11,Platforms you may use to promote your next startup,,23,0,23,new_repo,False,1528690318,1550937015,master,🚀 Free resources you may use to promote your next startup,False,26,trekhleb/promote-your-next-startup,,promote-your-next-startup,26.0,0,trekhleb,User,96,211,20.0,https://api.github.com/repos/trekhleb/promote-your-next-startup,211,211
2018-06-08,Clojure scheduled execution via Quartz / Integrant,Clojure,13,0,15,new_repo,False,1528084392,1550936979,master,Clojure scheduled execution via Quartz / Integrant,False,1,troy-west/cronut,Clojure,cronut,1.0,4,troy-west,Organization,53,41,8.0,https://api.github.com/repos/troy-west/cronut,41,41
